,origins,destinations,distances
0,0,0,16
1,0,1,208
2,0,2,154
3,0,3,412
4,0,4,268
5,0,5,351
6,0,6,554
7,0,7,695
8,0,8,689
9,0,9,768
10,0,10,1079
11,0,11,12
12,0,12,30
13,0,13,34
14,0,14,53
15,0,15,78
16,0,16,109
17,0,17,143
18,0,18,194
19,0,19,179
20,0,20,193
21,0,21,995
22,0,22,569
23,0,23,588
24,0,24,620
25,0,25,686
26,0,26,566
27,0,27,724
28,0,28,696
29,0,29,739
30,0,30,742
31,0,31,682
32,0,32,340
33,0,33,717
34,0,34,815
35,0,35,753
36,0,36,386
37,0,37,73
38,0,38,63
39,0,39,137
40,0,40,180
41,0,41,110
42,0,42,148
43,0,43,256
44,0,44,214
45,0,45,273
46,0,46,844
47,0,47,453
48,0,48,291
49,0,49,321
50,0,50,516
51,0,51,347
52,0,52,827
53,0,53,849
54,0,54,1056
55,0,55,707
56,0,56,665
57,0,57,287
58,0,58,523
59,0,59,242
60,0,60,202
61,0,61,232
62,0,62,207
63,0,63,902
64,0,64,273
65,0,65,780
66,0,66,832
67,0,67,1097
68,0,68,981
69,0,69,968
70,0,70,888
71,0,71,940
72,0,72,63
73,0,73,119
74,0,74,163
75,0,75,226
76,0,76,221
77,0,77,198
78,0,78,200
79,0,79,242
80,0,80,137
81,0,81,98
82,0,82,59
83,0,83,204
84,0,84,151
85,0,85,119
86,0,86,92
87,0,87,74
88,0,88,148
89,0,89,160
90,0,90,174
91,0,91,190
92,0,92,234
93,0,93,659
94,0,94,170
95,0,95,173
96,0,96,183
97,0,97,168
98,0,98,233
99,0,99,185
100,0,100,447
101,0,101,467
102,0,102,305
103,0,103,1092
104,0,104,994
105,0,105,883
106,0,106,232
107,0,107,788
108,0,108,942
109,0,109,1087
110,0,110,655
111,0,111,693
112,0,112,574
113,0,113,769
114,0,114,477
115,0,115,289
116,0,116,709
117,0,117,637
118,0,118,572
119,0,119,512
120,0,120,491
121,0,121,496
122,0,122,538
123,0,123,633
124,0,124,804
125,0,125,183
126,0,126,396
127,0,127,829
128,0,128,514
129,0,129,305
130,0,130,721
131,0,131,324
132,0,132,587
133,0,133,596
134,0,134,338
135,0,135,437
136,0,136,447
137,0,137,665
138,0,138,487
139,0,139,881
140,0,140,389
141,0,141,174
142,0,142,381
143,0,143,778
144,0,144,651
145,0,145,619
146,0,146,214
147,0,147,571
148,0,148,421
149,0,149,415
150,0,150,422
151,0,151,929
152,0,152,420
153,0,153,604
154,0,154,597
155,0,155,593
156,0,156,841
157,0,157,651
158,0,158,683
159,0,159,705
