,origins,destinations,distances
0,0,0,21
1,0,1,216
2,0,2,163
3,0,3,420
4,0,4,277
5,0,5,359
6,0,6,559
7,0,7,713
8,0,8,683
9,0,9,760
10,0,10,1079
11,0,11,14
12,0,12,30
13,0,13,35
14,0,14,58
15,0,15,84
16,0,16,117
17,0,17,150
18,0,18,196
19,0,19,190
20,0,20,204
21,0,21,1018
22,0,22,585
23,0,23,607
24,0,24,636
25,0,25,705
26,0,26,582
27,0,27,730
28,0,28,706
29,0,29,748
30,0,30,755
31,0,31,703
32,0,32,350
33,0,33,735
34,0,34,844
35,0,35,774
36,0,36,396
37,0,37,81
38,0,38,71
39,0,39,140
40,0,40,182
41,0,41,114
42,0,42,151
43,0,43,268
44,0,44,223
45,0,45,281
46,0,46,852
47,0,47,466
48,0,48,301
49,0,49,330
50,0,50,527
51,0,51,355
52,0,52,823
53,0,53,850
54,0,54,1073
55,0,55,701
56,0,56,676
57,0,57,295
58,0,58,564
59,0,59,252
60,0,60,214
61,0,61,233
62,0,62,208
63,0,63,903
64,0,64,283
65,0,65,775
66,0,66,827
67,0,67,1100
68,0,68,991
69,0,69,968
70,0,70,897
71,0,71,956
72,0,72,71
73,0,73,124
74,0,74,167
75,0,75,235
76,0,76,220
77,0,77,203
78,0,78,201
79,0,79,251
80,0,80,140
81,0,81,105
82,0,82,66
83,0,83,211
84,0,84,163
85,0,85,131
86,0,86,102
87,0,87,84
88,0,88,154
89,0,89,164
90,0,90,181
91,0,91,200
92,0,92,237
93,0,93,699
94,0,94,180
95,0,95,176
96,0,96,188
97,0,97,178
98,0,98,243
99,0,99,195
100,0,100,458
101,0,101,477
102,0,102,315
103,0,103,1101
104,0,104,997
105,0,105,878
106,0,106,247
107,0,107,780
108,0,108,942
109,0,109,1088
110,0,110,672
111,0,111,714
112,0,112,588
113,0,113,783
114,0,114,489
115,0,115,300
116,0,116,733
117,0,117,654
118,0,118,585
119,0,119,523
120,0,120,506
121,0,121,511
122,0,122,545
123,0,123,652
124,0,124,818
125,0,125,194
126,0,126,409
127,0,127,862
128,0,128,526
129,0,129,316
130,0,130,738
131,0,131,336
132,0,132,629
133,0,133,610
134,0,134,348
135,0,135,464
136,0,136,480
137,0,137,697
138,0,138,514
139,0,139,906
140,0,140,401
141,0,141,183
142,0,142,392
143,0,143,802
144,0,144,666
145,0,145,638
146,0,146,218
147,0,147,590
148,0,148,428
149,0,149,435
150,0,150,449
151,0,151,925
152,0,152,420
153,0,153,620
154,0,154,613
155,0,155,609
156,0,156,856
157,0,157,663
158,0,158,695
159,0,159,716
160,0,160,732
161,0,161,732
162,0,162,951
163,0,163,691
164,0,164,119
165,0,165,205
166,0,166,259
167,0,167,140
168,0,168,625
169,0,169,429
170,0,170,407
171,0,171,397
172,0,172,514
173,0,173,630
174,0,174,459
175,0,175,384
176,0,176,430
177,0,177,629
178,0,178,119
179,0,179,135
180,0,180,155
181,0,181,182
182,0,182,227
183,0,183,184
184,0,184,199
185,0,185,214
186,0,186,269
187,0,187,507
188,0,188,521
189,0,189,630
190,0,190,633
191,0,191,172
192,0,192,486
193,0,193,621
194,0,194,289
195,0,195,428
196,0,196,481
197,0,197,491
198,0,198,380
199,0,199,328
200,0,200,257
201,0,201,274
202,0,202,330
203,0,203,312
204,0,204,306
205,0,205,420
206,0,206,319
207,0,207,423
208,0,208,343
209,0,209,364
210,0,210,388
211,0,211,359
212,0,212,352
213,0,213,546
214,0,214,420
215,0,215,572
216,0,216,334
217,0,217,431
218,0,218,266
219,0,219,276
220,0,220,290
221,0,221,676
222,0,222,725
223,0,223,762
224,0,224,788
225,0,225,798
226,0,226,751
227,0,227,772
228,0,228,661
229,0,229,611
230,0,230,569
231,0,231,549
232,0,232,546
233,0,233,553
234,0,234,775
235,0,235,264
236,0,236,404
237,0,237,245
238,0,238,210
239,0,239,240
240,0,240,239
241,0,241,202
242,0,242,192
243,0,243,598
244,0,244,576
245,0,245,561
246,0,246,735
247,0,247,759
248,0,248,419
249,0,249,705
250,0,250,200
251,0,251,1008
252,0,252,582
253,0,253,600
254,0,254,628
255,0,255,695
256,0,256,578
257,0,257,727
258,0,258,702
259,0,259,745
260,0,260,749
261,0,261,692
262,0,262,339
263,0,263,726
264,0,264,830
265,0,265,763
266,0,266,383
267,0,267,62
268,0,268,51
269,0,269,119
270,0,270,159
271,0,271,93
272,0,272,129
273,0,273,246
274,0,274,221
275,0,275,280
276,0,276,848
277,0,277,460
278,0,278,292
279,0,279,322
280,0,280,510
281,0,281,354
282,0,282,823
283,0,283,848
284,0,284,1067
285,0,285,701
286,0,286,674
287,0,287,269
288,0,288,535
289,0,289,243
290,0,290,206
291,0,291,208
292,0,292,184
293,0,293,902
294,0,294,272
295,0,295,773
296,0,296,827
297,0,297,1096
298,0,298,987
299,0,299,967
300,0,300,892
301,0,301,949
302,0,302,49
303,0,303,102
304,0,304,143
305,0,305,227
306,0,306,195
307,0,307,181
308,0,308,178
309,0,309,245
310,0,310,117
311,0,311,83
312,0,312,48
313,0,313,205
314,0,314,155
315,0,315,122
316,0,316,91
317,0,317,70
318,0,318,133
319,0,319,143
320,0,320,162
321,0,321,181
322,0,322,217
323,0,323,676
324,0,324,154
325,0,325,166
326,0,326,173
327,0,327,232
328,0,328,189
329,0,329,450
330,0,330,464
331,0,331,304
332,0,332,1097
333,0,333,994
334,0,334,878
335,0,335,228
336,0,336,780
337,0,337,939
338,0,338,1087
339,0,339,663
340,0,340,700
341,0,341,584
342,0,342,775
343,0,343,484
344,0,344,292
345,0,345,716
346,0,346,639
347,0,347,572
348,0,348,513
349,0,349,498
350,0,350,505
351,0,351,545
352,0,352,632
353,0,353,812
354,0,354,191
355,0,355,401
356,0,356,844
357,0,357,522
358,0,358,306
359,0,359,730
360,0,360,329
361,0,361,601
362,0,362,607
363,0,363,345
364,0,364,438
365,0,365,455
366,0,366,674
367,0,367,485
368,0,368,894
369,0,369,390
370,0,370,182
371,0,371,383
372,0,372,788
373,0,373,659
374,0,374,633
375,0,375,196
376,0,376,567
377,0,377,421
378,0,378,420
379,0,379,429
380,0,380,614
381,0,381,608
382,0,382,605
383,0,383,847
384,0,384,660
385,0,385,690
386,0,386,712
387,0,387,725
388,0,388,726
389,0,389,939
390,0,390,683
391,0,391,189
392,0,392,251
393,0,393,131
394,0,394,406
395,0,395,391
396,0,396,390
397,0,397,487
398,0,398,627
399,0,399,457
400,0,400,421
401,0,401,604
402,0,402,102
403,0,403,117
404,0,404,139
405,0,405,167
406,0,406,213
407,0,407,161
408,0,408,175
409,0,409,190
410,0,410,247
411,0,411,485
412,0,412,517
413,0,413,628
414,0,414,629
415,0,415,149
416,0,416,460
417,0,417,620
418,0,418,276
419,0,419,480
420,0,420,374
421,0,421,267
422,0,422,308
423,0,423,298
424,0,424,291
425,0,425,403
426,0,426,301
427,0,427,402
428,0,428,338
429,0,429,357
430,0,430,365
431,0,431,342
432,0,432,327
433,0,433,521
434,0,434,394
435,0,435,545
436,0,436,313
437,0,437,427
438,0,438,262
439,0,439,266
440,0,440,286
441,0,441,674
442,0,442,723
443,0,443,759
444,0,444,785
445,0,445,793
446,0,446,742
447,0,447,753
448,0,448,650
449,0,449,601
450,0,450,561
451,0,451,543
452,0,452,542
453,0,453,550
454,0,454,756
455,0,455,254
456,0,456,401
457,0,457,242
458,0,458,208
459,0,459,236
460,0,460,229
461,0,461,199
462,0,462,189
463,0,463,595
464,0,464,574
465,0,465,559
466,0,466,726
467,0,467,751
468,1,0,176
469,1,1,23
470,1,2,34
471,1,3,230
472,1,4,82
473,1,5,164
474,1,6,364
475,1,7,566
476,1,8,488
477,1,9,565
478,1,10,884
479,1,11,205
480,1,12,224
481,1,13,229
482,1,14,253
483,1,15,279
484,1,16,312
485,1,17,345
486,1,18,391
487,1,19,13
488,1,20,60
489,1,21,873
490,1,22,418
491,1,23,450
492,1,24,488
493,1,25,565
494,1,26,406
495,1,27,564
496,1,28,532
497,1,29,590
498,1,30,603
499,1,31,576
500,1,32,520
501,1,33,590
502,1,34,733
503,1,35,651
504,1,36,296
505,1,37,183
506,1,38,233
507,1,39,231
508,1,40,276
509,1,41,253
510,1,42,275
511,1,43,386
512,1,44,61
513,1,45,102
514,1,46,707
515,1,47,296
516,1,48,190
517,1,49,203
518,1,50,455
519,1,51,167
520,1,52,657
521,1,53,694
522,1,54,915
523,1,55,511
524,1,56,497
525,1,57,378
526,1,58,594
527,1,59,145
528,1,60,98
529,1,61,335
530,1,62,315
531,1,63,748
532,1,64,186
533,1,65,597
