,origins,destinations,distances
0,0,0,17
1,0,1,187
2,0,2,141
3,0,3,398
4,0,4,246
5,0,5,331
6,0,6,548
7,0,7,699
8,0,8,682
9,0,9,760
10,0,10,1085
11,0,11,39
12,0,12,56
13,0,13,59
14,0,14,79
15,0,15,104
16,0,16,135
17,0,17,166
18,0,18,206
19,0,19,161
20,0,20,176
21,0,21,1017
22,0,22,577
23,0,23,595
24,0,24,623
25,0,25,690
26,0,26,576
27,0,27,724
28,0,28,701
29,0,29,741
30,0,30,743
31,0,31,686
32,0,32,328
33,0,33,725
34,0,34,831
35,0,35,760
36,0,36,368
37,0,37,50
38,0,38,63
39,0,39,111
40,0,40,152
41,0,41,95
42,0,42,127
43,0,43,240
44,0,44,192
45,0,45,250
46,0,46,839
47,0,47,451
48,0,48,270
49,0,49,303
50,0,50,496
51,0,51,327
52,0,52,813
53,0,53,839
54,0,54,1073
55,0,55,697
56,0,56,673
57,0,57,262
58,0,58,513
59,0,59,223
60,0,60,182
61,0,61,202
62,0,62,179
63,0,63,892
64,0,64,252
65,0,65,768
66,0,66,819
67,0,67,1104
68,0,68,986
69,0,69,966
70,0,70,885
71,0,71,950
72,0,72,53
73,0,73,101
74,0,74,141
75,0,75,206
76,0,76,191
77,0,77,176
78,0,78,173
79,0,79,220
80,0,80,116
81,0,81,86
82,0,82,61
83,0,83,209
84,0,84,165
85,0,85,133
86,0,86,103
87,0,87,80
88,0,88,131
89,0,89,142
90,0,90,161
91,0,91,179
92,0,92,202
93,0,93,672
94,0,94,156
95,0,95,150
96,0,96,163
97,0,97,151
98,0,98,212
99,0,99,166
100,0,100,440
101,0,101,452
102,0,102,286
103,0,103,1103
104,0,104,992
105,0,105,870
106,0,106,223
107,0,107,777
108,0,108,940
109,0,109,1093
110,0,110,658
111,0,111,692
112,0,112,583
113,0,113,771
114,0,114,477
115,0,115,269
116,0,116,712
117,0,117,632
118,0,118,561
119,0,119,505
120,0,120,493
121,0,121,498
122,0,122,534
123,0,123,622
124,0,124,806
125,0,125,164
126,0,126,387
127,0,127,852
128,0,128,516
129,0,129,287
130,0,130,726
131,0,131,307
132,0,132,590
133,0,133,606
134,0,134,320
135,0,135,416
136,0,136,425
137,0,137,667
138,0,138,464
139,0,139,896
140,0,140,377
141,0,141,159
142,0,142,369
143,0,143,786
144,0,144,655
145,0,145,627
146,0,146,192
147,0,147,553
148,0,148,409
149,0,149,396
150,0,150,401
151,0,151,928
152,0,152,415
153,0,153,611
154,0,154,607
155,0,155,604
156,0,156,844
157,0,157,662
158,0,158,693
159,0,159,714
160,0,160,726
161,0,161,726
162,0,162,948
163,0,163,680
164,0,164,96
165,0,165,174
166,0,166,229
167,0,167,106
168,0,168,622
169,0,169,385
170,0,170,371
171,0,171,384
172,0,172,460
173,0,173,626
174,0,174,441
175,0,175,384
176,0,176,402
177,0,177,590
178,0,178,104
179,0,179,120
180,0,180,143
181,0,181,169
182,0,182,211
183,0,183,157
184,0,184,170
185,0,185,184
186,0,186,236
187,0,187,470
188,0,188,506
189,0,189,627
190,0,190,628
191,0,191,145
192,0,192,442
193,0,193,615
194,0,194,269
195,0,195,406
196,0,196,463
197,0,197,475
198,0,198,357
199,0,199,332
200,0,200,265
201,0,201,268
202,0,202,296
203,0,203,282
204,0,204,281
205,0,205,387
206,0,206,287
207,0,207,387
208,0,208,334
209,0,209,339
210,0,210,348
211,0,211,329
212,0,212,317
213,0,213,506
214,0,214,379
