,origins,destinations,distances
0,0,0,30
1,0,1,230
2,0,2,177
3,0,3,435
4,0,4,291
5,0,5,372
6,0,6,574
7,0,7,726
8,0,8,704
9,0,9,781
10,0,10,1094
11,0,11,5
12,0,12,18
13,0,13,23
14,0,14,46
15,0,15,73
16,0,16,104
17,0,17,137
18,0,18,184
19,0,19,202
20,0,20,217
21,0,21,1037
22,0,22,600
23,0,23,620
24,0,24,650
25,0,25,719
26,0,26,598
27,0,27,748
28,0,28,723
29,0,29,765
30,0,30,770
31,0,31,715
32,0,32,339
33,0,33,751
34,0,34,860
35,0,35,789
36,0,36,406
37,0,37,80
38,0,38,64
39,0,39,140
40,0,40,180
41,0,41,110
42,0,42,149
43,0,43,265
44,0,44,237
45,0,45,295
46,0,46,871
47,0,47,478
48,0,48,308
49,0,49,338
50,0,50,537
51,0,51,369
52,0,52,845
53,0,53,870
54,0,54,1091
55,0,55,723
56,0,56,693
57,0,57,294
58,0,58,573
59,0,59,263
60,0,60,223
61,0,61,235
62,0,62,209
63,0,63,922
64,0,64,290
65,0,65,796
66,0,66,849
67,0,67,1118
68,0,68,1010
69,0,69,988
70,0,70,915
71,0,71,974
72,0,72,67
73,0,73,121
74,0,74,165
75,0,75,246
76,0,76,222
77,0,77,201
78,0,78,203
79,0,79,262
80,0,80,138
81,0,81,100
82,0,82,58
83,0,83,199
84,0,84,150
85,0,85,118
86,0,86,91
87,0,87,74
88,0,88,152
89,0,89,162
90,0,90,178
91,0,91,194
92,0,92,240
93,0,93,715
94,0,94,194
95,0,95,176
96,0,96,187
97,0,97,191
98,0,98,250
99,0,99,206
100,0,100,472
101,0,101,488
102,0,102,324
103,0,103,1120
104,0,104,1018
105,0,105,900
106,0,106,240
107,0,107,802
108,0,108,959
109,0,109,1106
110,0,110,685
111,0,111,727
112,0,112,602
113,0,113,798
114,0,114,503
115,0,115,309
116,0,116,746
117,0,117,666
118,0,118,596
119,0,119,538
120,0,120,518
121,0,121,523
122,0,122,561
123,0,123,663
124,0,124,836
125,0,125,206
126,0,126,418
127,0,127,880
128,0,128,540
129,0,129,326
130,0,130,753
131,0,131,346
132,0,132,643
133,0,133,624
134,0,134,360
135,0,135,465
136,0,136,478
137,0,137,711
138,0,138,519
139,0,139,922
140,0,140,390
141,0,141,197
142,0,142,403
143,0,143,817
144,0,144,680
145,0,145,651
146,0,146,217
147,0,147,600
148,0,148,414
149,0,149,426
150,0,150,445
151,0,151,943
152,0,152,405
153,0,153,634
154,0,154,627
155,0,155,624
156,0,156,873
157,0,157,680
158,0,158,713
159,0,159,734
160,0,160,748
161,0,161,749
162,0,162,970
163,0,163,705
164,0,164,131
165,0,165,210
166,0,166,268
167,0,167,147
168,0,168,644
169,0,169,425
170,0,170,400
171,0,171,382
172,0,172,520
173,0,173,646
174,0,174,471
175,0,175,371
176,0,176,417
177,0,177,642
178,0,178,115
179,0,179,128
180,0,180,147
181,0,181,172
182,0,182,217
183,0,183,185
184,0,184,200
185,0,185,215
186,0,186,271
187,0,187,516
188,0,188,532
189,0,189,647
190,0,190,647
191,0,191,173
192,0,192,492
193,0,193,639
194,0,194,278
195,0,195,441
196,0,196,495
197,0,197,506
198,0,198,391
199,0,199,316
200,0,200,247
201,0,201,261
202,0,202,323
203,0,203,320
204,0,204,299
205,0,205,428
206,0,206,325
207,0,207,430
208,0,208,332
209,0,209,373
210,0,210,384
211,0,211,352
212,0,212,352
213,0,213,556
214,0,214,423
215,0,215,581
216,0,216,340
217,0,217,446
218,0,218,279
219,0,219,283
220,0,220,301
221,0,221,693
222,0,222,743
223,0,223,779
224,0,224,806
225,0,225,815
226,0,226,766
227,0,227,787
228,0,228,675
229,0,229,625
230,0,230,583
231,0,231,561
232,0,232,560
233,0,233,568
234,0,234,792
235,0,235,271
236,0,236,417
237,0,237,257
238,0,238,224
239,0,239,251
240,0,240,247
241,0,241,215
242,0,242,204
243,0,243,613
244,0,244,592
245,0,245,575
246,0,246,749
247,0,247,773
248,0,248,435
249,0,249,718
250,0,250,216
251,0,251,1015
252,0,252,593
253,0,253,613
254,0,254,641
255,0,255,707
256,0,256,592
257,0,257,742
258,0,258,718
259,0,259,759
260,0,260,762
261,0,261,702
262,0,262,325
263,0,263,740
264,0,264,833
265,0,265,773
266,0,266,396
267,0,267,73
268,0,268,49
269,0,269,126
270,0,270,162
271,0,271,94
272,0,272,130
273,0,273,242
274,0,274,237
275,0,275,294
276,0,276,863
277,0,277,473
278,0,278,306
279,0,279,335
280,0,280,519
281,0,281,370
282,0,282,843
283,0,283,865
284,0,284,1076
285,0,285,723
286,0,286,689
287,0,287,269
288,0,288,523
289,0,289,260
290,0,290,221
291,0,291,210
292,0,292,185
293,0,293,916
294,0,294,286
295,0,295,795
296,0,296,848
297,0,297,1111
298,0,298,1000
299,0,299,984
300,0,300,905
301,0,301,959
302,0,302,55
303,0,303,105
304,0,304,146
305,0,305,244
306,0,306,197
307,0,307,179
308,0,308,179
309,0,309,262
310,0,310,118
311,0,311,83
312,0,312,43
313,0,313,193
314,0,314,144
315,0,315,112
316,0,316,84
317,0,317,63
318,0,318,133
319,0,319,143
320,0,320,158
