,origins,destinations,distances
0,0,0,12
1,0,1,183
2,0,2,136
3,0,3,396
4,0,4,242
5,0,5,327
6,0,6,544
7,0,7,708
8,0,8,678
9,0,9,756
10,0,10,1081
11,0,11,40
12,0,12,58
13,0,13,61
14,0,14,81
15,0,15,107
16,0,16,138
17,0,17,169
18,0,18,209
19,0,19,157
20,0,20,178
21,0,21,1027
22,0,22,581
23,0,23,602
24,0,24,631
25,0,25,699
26,0,26,579
27,0,27,730
28,0,28,705
29,0,29,748
30,0,30,751
31,0,31,697
32,0,32,343
33,0,33,733
34,0,34,844
35,0,35,771
36,0,36,381
37,0,37,72
38,0,38,81
39,0,39,133
40,0,40,174
41,0,41,116
42,0,42,149
43,0,43,262
44,0,44,193
45,0,45,250
46,0,46,848
47,0,47,455
48,0,48,280
49,0,49,311
50,0,50,512
51,0,51,327
52,0,52,819
53,0,53,847
54,0,54,1080
55,0,55,697
56,0,56,675
57,0,57,284
58,0,58,535
59,0,59,232
60,0,60,188
61,0,61,225
62,0,62,201
63,0,63,900
64,0,64,263
65,0,65,771
66,0,66,822
67,0,67,1106
68,0,68,993
69,0,69,969
70,0,70,894
71,0,71,959
72,0,72,74
73,0,73,123
74,0,74,163
75,0,75,214
76,0,76,213
77,0,77,198
78,0,78,195
79,0,79,226
80,0,80,137
81,0,81,107
82,0,82,77
83,0,83,219
84,0,84,177
85,0,85,145
86,0,86,117
87,0,87,95
88,0,88,153
89,0,89,163
90,0,90,182
91,0,91,200
92,0,92,223
93,0,93,689
94,0,94,152
95,0,95,172
96,0,96,185
97,0,97,156
98,0,98,223
99,0,99,172
100,0,100,447
101,0,101,463
102,0,102,296
103,0,103,1108
104,0,104,997
105,0,105,876
106,0,106,243
107,0,107,777
108,0,108,940
109,0,109,1093
110,0,110,667
111,0,111,705
112,0,112,585
113,0,113,780
114,0,114,478
115,0,115,276
116,0,116,727
117,0,117,646
118,0,118,573
119,0,119,514
120,0,120,499
121,0,121,501
122,0,122,532
123,0,123,639
124,0,124,816
125,0,125,163
126,0,126,391
127,0,127,864
128,0,128,517
129,0,129,297
130,0,130,736
131,0,131,313
132,0,132,610
133,0,133,607
134,0,134,323
135,0,135,438
136,0,136,447
137,0,137,685
138,0,138,486
139,0,139,907
140,0,140,392
141,0,141,157
142,0,142,378
143,0,143,799
144,0,144,662
145,0,145,633
146,0,146,214
147,0,147,572
148,0,148,418
149,0,149,413
150,0,150,421
151,0,151,924
152,0,152,418
153,0,153,616
154,0,154,610
155,0,155,606
156,0,156,855
157,0,157,665
158,0,158,697
159,0,159,720
160,0,160,733
161,0,161,734
162,0,162,959
163,0,163,688
164,0,164,91
165,0,165,192
166,0,166,238
167,0,167,116
168,0,168,618
169,0,169,405
170,0,170,389
171,0,171,393
172,0,172,483
173,0,173,628
174,0,174,441
175,0,175,388
176,0,176,416
177,0,177,609
178,0,178,124
179,0,179,139
180,0,180,162
181,0,181,186
182,0,182,227
183,0,183,179
184,0,184,193
185,0,185,206
186,0,186,258
187,0,187,489
188,0,188,506
189,0,189,627
190,0,190,629
191,0,191,167
192,0,192,464
193,0,193,613
194,0,194,285
195,0,195,402
196,0,196,461
197,0,197,471
198,0,198,361
199,0,199,336
200,0,200,268
201,0,201,278
202,0,202,317
203,0,203,296
204,0,204,301
205,0,205,404
206,0,206,305
207,0,207,407
208,0,208,345
209,0,209,345
210,0,210,370
211,0,211,348
212,0,212,339
213,0,213,526
214,0,214,401
215,0,215,548
216,0,216,320
217,0,217,416
218,0,218,244
219,0,219,255
220,0,220,263
221,0,221,674
222,0,222,722
223,0,223,758
224,0,224,784
225,0,225,795
226,0,226,749
227,0,227,766
228,0,228,654
229,0,229,603
230,0,230,560
231,0,231,542
232,0,232,541
233,0,233,548
234,0,234,772
235,0,235,243
236,0,236,382
237,0,237,217
238,0,238,184
239,0,239,212
240,0,240,220
241,0,241,174
242,0,242,164
243,0,243,594
244,0,244,569
245,0,245,553
246,0,246,733
247,0,247,755
248,0,248,395
249,0,249,709
250,0,250,173
251,0,251,1034
252,0,252,579
253,0,253,600
254,0,254,628
255,0,255,701
256,0,256,576
257,0,257,732
258,0,258,707
259,0,259,748
260,0,260,754
261,0,261,697
262,0,262,349
263,0,263,734
264,0,264,851
265,0,265,773
266,0,266,375
267,0,267,56
268,0,268,71
269,0,269,121
270,0,270,164
271,0,271,107
272,0,272,139
273,0,273,258
274,0,274,188
275,0,275,246
276,0,276,853
277,0,277,451
278,0,278,273
279,0,279,305
280,0,280,509
281,0,281,324
282,0,282,823
283,0,283,849
284,0,284,1085
285,0,285,699
286,0,286,676
287,0,287,278
288,0,288,553
289,0,289,223
290,0,290,185
291,0,291,217
292,0,292,195
293,0,293,904
294,0,294,256
295,0,295,773
296,0,296,825
297,0,297,1106
298,0,298,997
299,0,299,968
300,0,300,900
301,0,301,964
302,0,302,64
303,0,303,112
304,0,304,152
305,0,305,208
306,0,306,205
307,0,307,192
308,0,308,190
309,0,309,220
310,0,310,129
311,0,311,98
312,0,312,72
313,0,313,220
314,0,314,175
315,0,315,145
316,0,316,113
317,0,317,92
318,0,318,148
319,0,319,158
320,0,320,175
321,0,321,194
