col_a,col_b,pvalue
0,00-01_0,1
0,00-01_1,2
0,00-01_2,2
0,00-01_3,2
0,00-01_4,2
0,00-01_5,2
0,01-00_0,3
0,01-00_1,1
0,01-00_2,1
0,01-00_3,1
0,01-00_4,1
0,01-00_5,1
0,01-01_0,4
0,01-01_1,4
0,01-01_2,2
0,01-01_3,4
0,01-01_4,2
0,01-01_5,4
0,02-00_0,5
0,02-00_1,5
0,02-00_2,3
0,02-00_3,5
0,02-00_4,3
0,02-00_5,5
0,02-01_0,6
0,02-01_1,6
0,02-01_2,4
0,02-01_3,6
0,02-01_4,6
0,02-01_5,6
0,03-00_0,7
0,03-00_1,4
0,03-00_2,5
0,03-00_3,4
0,03-00_4,4
0,03-00_5,4
0,03-01_0,8
0,03-01_1,8
0,03-01_2,8
0,03-01_3,7
0,03-01_4,5
0,03-01_5,8
0,04-00_0,9
0,04-00_1,6
0,04-00_2,9
0,04-00_3,7
0,04-00_4,7
0,04-00_5,6
0,04-01_0,10
0,04-01_1,6
0,04-01_2,10
0,04-01_3,7
0,04-01_4,5
0,04-01_5,8
0,05-00_0,11
0,05-00_1,8
0,05-00_2,8
0,05-00_3,7
0,05-00_4,4
0,05-00_5,8
0,05-01_0,12
0,05-01_1,5
0,05-01_2,10
0,05-01_3,6
0,05-01_4,4
0,05-01_5,8
0,06-00_0,13
0,06-00_1,9
0,06-00_2,13
0,06-00_3,9
0,06-00_4,7
0,06-00_5,12
0,06-01_0,14
0,06-01_1,12
0,06-01_2,11
0,06-01_3,12
0,06-01_4,12
0,06-01_5,13
0,07-00_0,12
0,07-00_1,13
0,07-00_2,13
0,07-00_3,13
0,07-00_4,12
0,07-00_5,13
0,07-01_0,13
0,07-01_1,13
0,07-01_2,12
0,07-01_3,12
0,07-01_4,12
0,07-01_5,13
0,age,2
0,asrsa_score,1
0,asrsb_score,2
0,bai_score,2
0,dbi_score,1
0,oci_score,1
0,srq_score,1
1,00-01_1,1
1,00-01_2,1
1,00-01_3,1
1,00-01_4,1
1,00-01_5,1
1,01-00_1,2
1,01-00_2,1
1,01-00_3,2
1,01-00_4,2
1,01-00_5,2
1,01-01_0,2
1,01-01_1,3
1,01-01_2,3
1,01-01_3,3
1,01-01_4,3
1,01-01_5,3
1,02-00_0,2
1,02-00_1,4
1,02-00_2,1
1,02-00_3,3
1,02-00_4,3
1,02-00_5,4
1,02-01_0,3
1,02-01_1,5
1,02-01_2,5
1,02-01_3,5
1,02-01_4,5
1,02-01_5,5
1,03-00_0,3
1,03-00_1,6
1,03-00_2,5
1,03-00_3,6
1,03-00_4,6
1,03-00_5,5
1,03-01_0,3
1,03-01_1,7
1,03-01_2,6
1,03-01_3,7
1,03-01_4,7
1,03-01_5,7
1,04-00_0,5
1,04-00_1,8
1,04-00_2,8
1,04-00_3,8
1,04-00_4,8
1,04-00_5,8
1,04-01_0,2
1,04-01_1,9
1,04-01_2,9
1,04-01_3,9
1,04-01_4,9
1,04-01_5,9
1,05-00_0,4
1,05-00_1,6
1,05-00_2,5
1,05-00_3,6
1,05-00_4,6
1,05-00_5,7
1,05-01_0,5
1,05-01_1,8
1,05-01_2,8
1,05-01_3,8
1,05-01_4,9
1,05-01_5,8
1,06-00_0,6
1,06-00_1,10
1,06-00_2,8
1,06-00_3,9
