col_a,col_b,pvalue
1,06-01_3,11
1,06-01_4,12
1,06-01_5,13
1,07-00_0,8
1,07-00_1,13
1,07-00_2,14
1,07-00_3,11
1,07-00_4,11
1,07-00_5,13
1,07-01_0,5
1,07-01_1,11
1,07-01_2,10
1,07-01_3,11
1,07-01_4,11
1,07-01_5,11
1,asrsb_score,1
2,00-01_2,1
2,00-01_3,1
2,00-01_4,1
2,00-01_5,1
2,01-00_2,1
2,01-00_3,1
2,01-00_4,1
2,01-00_5,1
2,01-01_0,1
2,01-01_1,2
2,01-01_2,3
2,01-01_3,2
2,01-01_4,3
2,01-01_5,3
2,02-00_0,2
2,02-00_1,2
2,02-00_2,3
2,02-00_3,3
2,02-00_4,3
2,02-00_5,3
2,02-01_0,3
2,02-01_1,4
2,02-01_2,5
2,02-01_3,4
2,02-01_4,5
2,02-01_5,5
2,03-00_0,4
2,03-00_1,1
2,03-00_2,5
2,03-00_3,3
2,03-00_4,4
2,03-00_5,1
2,03-01_0,4
2,03-01_1,1
2,03-01_2,7
2,03-01_3,4
2,03-01_4,5
2,03-01_5,1
2,04-00_0,3
2,04-00_1,2
2,04-00_2,8
2,04-00_3,3
2,04-00_4,3
2,04-00_5,3
2,04-01_0,6
2,04-01_1,6
2,04-01_2,8
2,04-01_3,3
2,04-01_4,5
2,04-01_5,7
2,05-00_0,3
2,05-00_1,3
2,05-00_2,5
2,05-00_3,3
2,05-00_4,2
2,05-00_5,3
2,05-01_0,5
2,05-01_1,3
2,05-01_2,10
2,05-01_3,7
2,05-01_4,5
2,05-01_5,5
2,06-00_0,5
2,06-00_1,2
2,06-00_2,8
2,06-00_3,3
2,06-00_4,5
2,06-00_5,3
2,06-01_0,7
2,06-01_1,9
2,06-01_2,10
2,06-01_3,11
2,06-01_4,11
2,06-01_5,10
2,07-00_0,4
2,07-00_1,9
2,07-00_2,12
2,07-00_3,9
2,07-00_4,9
2,07-00_5,10
2,07-01_0,6
2,07-01_1,6
2,07-01_2,10
2,07-01_3,4
2,07-01_4,5
2,07-01_5,7
2,age,1
2,asrsb_score,2
3,00-01_3,1
3,00-01_4,1
3,00-01_5,1
3,01-00_1,1
3,01-00_3,2
3,01-00_4,1
3,01-00_5,2
3,01-01_0,1
3,01-01_1,2
3,01-01_2,2
3,01-01_3,3
3,01-01_4,3
3,01-01_5,3
3,02-00_0,2
3,02-00_1,3
3,02-00_3,3
3,02-00_4,3
3,02-00_5,4
3,02-01_0,3
3,02-01_1,4
3,02-01_2,2
3,02-01_3,5
3,02-01_4,5
3,02-01_5,5
3,03-00_0,2
3,03-00_1,5
3,03-00_2,1
3,03-00_3,6
3,03-00_4,6
3,03-00_5,5
3,03-01_0,3
3,03-01_1,5
3,03-01_2,2
3,03-01_3,7
3,03-01_4,6
3,03-01_5,6
3,04-00_0,5
3,04-00_1,6
3,04-00_2,6
3,04-00_3,8
3,04-00_4,7
3,04-00_5,8
3,04-01_0,1
3,04-01_1,8
3,04-01_2,6
3,04-01_3,9
3,04-01_4,9
3,04-01_5,9
3,05-00_0,3
3,05-00_1,2
3,05-00_2,1
3,05-00_3,3
3,05-00_4,2
3,05-00_5,4
3,05-01_0,3
3,05-01_1,4
3,05-01_2,3
3,05-01_3,5
3,05-01_4,5
3,05-01_5,5
3,06-00_0,4
3,06-00_1,8
3,06-00_3,7
3,06-00_4,7
3,06-00_5,8
3,06-01_0,7
3,06-01_1,12
3,06-01_2,6
3,06-01_3,12
3,06-01_4,12
3,06-01_5,12
3,07-00_0,8
3,07-00_1,11
3,07-00_2,11
3,07-00_3,13
3,07-00_4,11
3,07-00_5,13
3,07-01_0,4
3,07-01_1,10
3,07-01_2,7
3,07-01_3,9
3,07-01_4,10
3,07-01_5,11
4,00-01_4,1
4,00-01_5,1
4,01-00_1,1
4,01-00_4,2
4,01-00_5,1
4,01-01_0,1
4,01-01_1,2
4,01-01_2,2
4,01-01_3,2
4,01-01_4,3
4,01-01_5,3
4,02-00_0,1
4,02-00_1,2
4,02-00_3,2
4,02-00_4,3
4,02-00_5,3
4,02-01_0,2
4,02-01_1,4
4,02-01_2,4
4,02-01_3,4
4,02-01_4,5
4,02-01_5,5
4,03-00_0,2
4,03-00_1,4
4,03-00_2,2
4,03-00_3,4
4,03-00_4,6
4,03-00_5,5
4,03-01_1,6
4,03-01_2,1
4,03-01_3,6
4,03-01_4,7
4,03-01_5,7
4,04-00_0,4
4,04-00_1,7
4,04-00_2,6
4,04-00_3,7
4,04-00_4,8
4,04-00_5,8
4,04-01_0,1
4,04-01_1,8
4,04-01_2,5
4,04-01_3,7
4,04-01_4,9
4,04-01_5,9
4,05-00_1,3
4,05-00_2,1
4,05-00_3,1
4,05-00_4,4
4,05-00_5,3
4,05-01_1,5
4,05-01_2,4
4,05-01_3,4
4,05-01_4,7
4,05-01_5,4
4,06-00_0,3
4,06-00_1,7
4,06-00_2,1
4,06-00_3,6
4,06-00_4,8
4,06-00_5,7
4,06-01_0,5
4,06-01_1,12
4,06-01_2,5
4,06-01_3,11
4,06-01_4,12
4,06-01_5,12
4,07-00_0,7
4,07-00_1,11
4,07-00_2,12
4,07-00_3,9
4,07-00_4,11
4,07-00_5,11
4,07-01_0,3
4,07-01_1,10
4,07-01_2,7
4,07-01_3,8
4,07-01_4,9
4,07-01_5,11
5,00-01_5,1
5,01-00_5,1
5,01-01_0,2
5,01-01_1,2
5,01-01_2,2
5,01-01_3,2
5,01-01_4,2
5,01-01_5,3
5,02-00_1,3
5,02-00_3,2
5,02-00_4,2
5,02-00_5,4
5,02-01_0,2
5,02-01_1,4
5,02-01_2,3
5,02-01_3,4
5,02-01_4,4
5,02-01_5,5
5,03-00_0,1
5,03-00_1,4
5,03-00_2,1
5,03-00_3,4
5,03-00_4,4
5,03-00_5,5
5,03-01_0,3
5,03-01_1,5
5,03-01_2,2
5,03-01_3,5
5,03-01_4,5
5,03-01_5,6
5,04-00_0,5
5,04-00_1,5
5,04-00_2,6
5,04-00_3,6
5,04-00_4,6
5,04-00_5,7
5,04-01_0,1
5,04-01_1,8
5,04-01_2,7
5,04-01_3,8
5,04-01_4,8
5,04-01_5,9
5,05-00_0,3
5,05-00_1,2
5,05-00_2,1
5,05-00_3,3
5,05-00_4,2
5,05-00_5,5
5,05-01_0,3
5,05-01_1,5
5,05-01_2,2
5,05-01_3,4
5,05-01_4,4
5,05-01_5,6
5,06-00_0,3
5,06-00_1,7
5,06-00_2,1
5,06-00_3,6
5,06-00_4,6
5,06-00_5,8
5,06-01_0,7
5,06-01_1,12
5,06-01_2,6
5,06-01_3,10
5,06-01_4,10
5,06-01_5,13
5,07-00_0,9
5,07-00_1,12
5,07-00_2,12
5,07-00_3,11
5,07-00_4,10
5,07-00_5,13
5,07-01_0,4
5,07-01_1,10
5,07-01_2,9
5,07-01_3,10
5,07-01_4,10
5,07-01_5,12
5,asrsb_score,1
age,age,1
asrsa_score,asrsa_score,1
asrsa_score,asrsb_score,1
asrsa_score,oci_score,1
asrsa_score,srq_score,1
asrsb_score,asrsb_score,1
asrsb_score,oci_score,1
asrsb_score,srq_score,1
bai_score,asrsa_score,1
bai_score,asrsb_score,1
bai_score,bai_score,1
bai_score,oci_score,1
bai_score,srq_score,1
dbi_score,asrsa_score,1
dbi_score,asrsb_score,1
dbi_score,bai_score,1
dbi_score,dbi_score,1
dbi_score,oci_score,1
dbi_score,srq_score,1
oci_score,oci_score,1
oci_score,srq_score,1
srq_score,srq_score,1
